customer_id,customer_name,total_spent,average_customer_spending,amount_above_average
366,"BRANDON HUEY",152.63,112.531820,40.098180
7,"MARIA MILLER",151.67,112.531820,39.138180
454,"ALEX GRESHAM",151.67,112.531820,39.138180
211,"STACEY MONTGOMERY",151.66,112.531820,39.128180
196,"ALMA AUSTIN",151.65,112.531820,39.118180
439,"ALEXANDER FENNELL",151.64,112.531820,39.108180
257,"MARSHA DOUGLAS",151.63,112.531820,39.098180
360,"RALPH MADRIGAL",150.66,112.531820,38.128180
371,"BILLY POULIN",149.65,112.531820,37.118180
513,"DUANE TUBBS",148.69,112.531820,36.158180
86,"JACQUELINE LONG",148.67,112.531820,36.138180
309,"CHRISTOPHER GRECO",147.69,112.531820,35.158180
204,"ROSEMARY SCHMIDT",147.65,112.531820,35.118180
103,"GLADYS HAMILTON",146.69,112.531820,34.158180
479,"ZACHARY HITE",146.69,112.531820,34.158180
348,"ROGER QUINTANILLA",146.64,112.531820,34.108180
87,"WANDA PATTERSON",145.70,112.531820,33.168180
362,"NICHOLAS BARFIELD",145.68,112.531820,33.148180
172,"BERNICE WILLIS",145.67,112.531820,33.138180
436,"TROY QUIGLEY",144.70,112.531820,32.168180
277,"OLGA JIMENEZ",144.68,112.531820,32.148180
237,"TANYA GILBERT",144.67,112.531820,32.138180
66,"JANICE WARD",144.66,112.531820,32.128180
5,"ELIZABETH BROWN",144.62,112.531820,32.088180
337,"JERRY JORDON",143.71,112.531820,31.178180
363,"ROY WHITING",143.71,112.531820,31.178180
120,"SYLVIA ORTIZ",143.68,112.531820,31.148180
289,"VIOLET RODRIQUEZ",142.70,112.531820,30.168180
347,"RYAN SALISBURY",142.70,112.531820,30.168180
46,"CATHERINE CAMPBELL",142.66,112.531820,30.128180
239,"MINNIE ROMERO",142.66,112.531820,30.128180
39,"DEBRA NELSON",141.71,112.531820,29.178180
472,"GREG ROBINS",141.70,112.531820,29.168180
78,"LORI WOOD",141.69,112.531820,29.158180
84,"SARA PERRY",141.67,112.531820,29.138180
533,"JESSIE MILAM",141.67,112.531820,29.138180
566,"CASEY MENA",141.66,112.531820,29.128180
198,"ELSIE KELLEY",141.63,112.531820,29.098180
494,"RAMON CHOATE",140.69,112.531820,28.158180
242,"GLENDA FRAZIER",140.68,112.531820,28.148180
29,"ANGELA HERNANDEZ",140.64,112.531820,28.108180
146,"JAMIE RICE",139.71,112.531820,27.178180
467,"ALVIN DELOACH",139.71,112.531820,27.178180
404,"STANLEY SCROGGINS",139.70,112.531820,27.168180
484,"ROBERTO VU",139.70,112.531820,27.168180
114,"GRACE ELLIS",139.67,112.531820,27.138180
576,"MORRIS MCCARTER",139.66,112.531820,27.128180
349,"JOE GILLILAND",138.71,112.531820,26.178180
482,"MAURICE CRAWLEY",138.71,112.531820,26.178180
306,"CHARLES KOWALSKI",138.68,112.531820,26.148180
51,"ALICE STEWART",138.67,112.531820,26.138180
502,"BRETT CORNWELL",138.66,112.531820,26.128180
80,"MARILYN ROSS",137.70,112.531820,25.168180
210,"ELLA OLIVER",137.69,112.531820,25.158180
300,"JOHN FARNSWORTH",137.69,112.531820,25.158180
102,"CRYSTAL FORD",137.67,112.531820,25.138180
207,"GERTRUDE CASTILLO",137.66,112.531820,25.128180
200,"JEANNE LAWSON",136.73,112.531820,24.198180
380,"RUSSELL BRINSON",136.64,112.531820,24.108180
3,"LINDA WILLIAMS",135.74,112.531820,23.208180
285,"MIRIAM MCKINNEY",135.74,112.531820,23.208180
558,"JIMMIE EGGLESTON",135.72,112.531820,23.188180
448,"MIGUEL BETANCOURT",135.71,112.531820,23.178180
56,"GLORIA COOK",135.70,112.531820,23.168180
334,"RAYMOND MCWHORTER",135.70,112.531820,23.168180
279,"DIANNE SHELTON",135.69,112.531820,23.158180
125,"ETHEL WEBB",135.68,112.531820,23.148180
535,"JAVIER ELROD",135.68,112.531820,23.148180
168,"REGINA BERRY",135.66,112.531820,23.128180
591,"KENT ARSENAULT",134.73,112.531820,22.198180
307,"JOSEPH JOY",134.70,112.531820,22.168180
15,"HELEN HARRIS",134.68,112.531820,22.148180
89,"JULIA FLORES",134.68,112.531820,22.148180
520,"MITCHELL WESTMORELAND",134.68,112.531820,22.148180
569,"DAVE GARDINER",134.68,112.531820,22.148180
438,"BARRY LOVELACE",134.67,112.531820,22.138180
473,"JORGE OLIVARES",134.66,112.531820,22.128180
433,"DON BONE",133.75,112.531820,21.218180
59,"CHERYL MURPHY",133.73,112.531820,21.198180
92,"TINA SIMMONS",133.72,112.531820,21.188180
504,"NATHANIEL ADAM",133.72,112.531820,21.188180
179,"DANA HART",133.71,112.531820,21.178180
265,"JENNIE TERRY",133.71,112.531820,21.178180
112,"ROSA REYNOLDS",133.70,112.531820,21.168180
221,"BESSIE MORRISON",132.72,112.531820,20.188180
316,"STEVEN CURLEY",132.71,112.531820,20.178180
108,"TRACY COLE",132.70,112.531820,20.168180
319,"RONALD WEINER",132.70,112.531820,20.168180
560,"JORDAN ARCHULETA",132.70,112.531820,20.168180
245,"COURTNEY DAY",132.68,112.531820,20.148180
13,"KAREN JACKSON",131.73,112.531820,19.198180
299,"JAMES GANNON",131.70,112.531820,19.168180
314,"GEORGE LINTON",131.67,112.531820,19.138180
82,"KATHRYN COLEMAN",130.74,112.531820,18.208180
594,"EDUARDO HIATT",130.73,112.531820,18.198180
49,"JOYCE EDWARDS",130.72,112.531820,18.188180
154,"MICHELE GRANT",130.70,112.531820,18.168180
141,"DEBBIE REYES",130.68,112.531820,18.148180
342,"HAROLD MARTINO",130.68,112.531820,18.148180
497,"GILBERT SLEDGE",129.72,112.531820,17.188180
589,"TRACY HERRMANN",129.72,112.531820,17.188180
71,"KATHY JAMES",129.70,112.531820,17.168180
269,"CASSANDRA WALTERS",129.70,112.531820,17.168180
296,"RAMONA HALE",129.70,112.531820,17.168180
584,"SALVADOR TEEL",129.70,112.531820,17.168180
35,"VIRGINIA GREEN",129.68,112.531820,17.148180
244,"VIOLA HANSON",129.68,112.531820,17.148180
354,"JUSTIN NGO",129.64,112.531820,17.108180
2,"PATRICIA JOHNSON",128.73,112.531820,16.198180
434,"EDDIE TOMLIN",128.73,112.531820,16.198180
322,"JASON MORRISSEY",128.72,112.531820,16.188180
54,"TERESA ROGERS",128.71,112.531820,16.178180
131,"MONICA HICKS",128.70,112.531820,16.168180
297,"SHERRI RHODES",128.67,112.531820,16.138180
451,"JIM REA",128.67,112.531820,16.138180
508,"MILTON HOWLAND",127.75,112.531820,15.218180
45,"JANET PHILLIPS",127.73,112.531820,15.198180
32,"AMY LOPEZ",127.71,112.531820,15.178180
253,"TERRY CARLSON",127.71,112.531820,15.178180
302,"MICHAEL SILVERMAN",127.71,112.531820,15.178180
339,"WALTER PERRYMAN",127.70,112.531820,15.168180
128,"MARJORIE TUCKER",127.68,112.531820,15.148180
329,"FRANK WAGGONER",127.68,112.531820,15.148180
38,"MARTHA GONZALEZ",127.66,112.531820,15.128180
147,"JOANNE ROBERTSON",127.66,112.531820,15.128180
206,"TERRI VASQUEZ",126.73,112.531820,14.198180
426,"BRADLEY MOTLEY",126.73,112.531820,14.198180
284,"SONIA GREGORY",126.72,112.531820,14.188180
515,"ANDRE RAPP",126.72,112.531820,14.188180
565,"JAIME NETTLES",126.71,112.531820,14.178180
575,"ISAAC OGLESBY",126.71,112.531820,14.178180
107,"FLORENCE WOODS",126.70,112.531820,14.168180
27,"SHIRLEY ALLEN",126.69,112.531820,14.158180
122,"THELMA MURRAY",126.68,112.531820,14.148180
158,"VERONICA STONE",126.68,112.531820,14.148180
19,"RUTH MARTINEZ",125.76,112.531820,13.228180
389,"ALAN KAHN",124.74,112.531820,12.208180
491,"RICK MATTOX",124.73,112.531820,12.198180
400,"BRYAN HARDISON",124.72,112.531820,12.188180
388,"CRAIG MORRELL",124.70,112.531820,12.168180
230,"JOY GEORGE",124.67,112.531820,12.138180
129,"CARRIE PORTER",124.66,112.531820,12.128180
166,"LYNN PAYNE",123.72,112.531820,11.188180
268,"NINA SOTO",123.71,112.531820,11.178180
499,"MARC OUTLAW",123.70,112.531820,11.168180
30,"MELISSA KING",123.66,112.531820,11.128180
510,"BEN EASTER",122.74,112.531820,10.208180
331,"ERIC ROBERT",122.73,112.531820,10.198180
276,"BRANDY GRAVES",122.72,112.531820,10.188180
163,"CATHY SPENCER",122.71,112.531820,10.178180
263,"HILDA HOPKINS",122.71,112.531820,10.178180
260,"CHRISTY VARGAS",122.69,112.531820,10.158180
406,"NATHAN RUNYON",122.68,112.531820,10.148180
241,"HEIDI LARSON",122.66,112.531820,10.128180
571,"JOHNNIE CHISHOLM",121.76,112.531820,9.228180
149,"VALERIE BLACK",121.74,112.531820,9.208180
356,"GERALD FULTZ",121.70,112.531820,9.168180
393,"PHILIP CAUSEY",121.69,112.531820,9.158180
416,"JEFFERY PINSON",121.69,112.531820,9.158180
311,"PAUL TROUT",120.77,112.531820,8.238180
105,"DAWN SULLIVAN",120.74,112.531820,8.208180
225,"ARLENE HARVEY",120.74,112.531820,8.208180
423,"ALFRED CASILLAS",120.74,112.531820,8.208180
495,"CHARLIE BESS",120.74,112.531820,8.208180
573,"BYRON BOX",120.71,112.531820,8.178180
251,"VICKIE BREWER",120.69,112.531820,8.158180
170,"BEATRICE ARNOLD",119.74,112.531820,7.208180
487,"HECTOR POINDEXTER",119.74,112.531820,7.208180
421,"LEE HAWKS",119.73,112.531820,7.198180
262,"PATSY DAVIDSON",119.72,112.531820,7.188180
173,"AUDREY RAY",119.71,112.531820,7.178180
23,"SARAH LEWIS",119.70,112.531820,7.168180
336,"JOSHUA MARK",119.70,112.531820,7.168180
340,"PATRICK NEWSOM",119.69,112.531820,7.158180
167,"SALLY PIERCE",119.68,112.531820,7.148180
41,"STEPHANIE MITCHELL",118.75,112.531820,6.218180
531,"JAMIE WAUGH",118.75,112.531820,6.218180
280,"TRACEY BARRETT",118.73,112.531820,6.198180
292,"MISTY LAMBERT",118.73,112.531820,6.198180
16,"SANDRA MARTIN",118.72,112.531820,6.188180
266,"NORA HERRERA",118.72,112.531820,6.188180
332,"STEPHEN QUALLS",118.72,112.531820,6.188180
529,"ERIK GUILLEN",118.71,112.531820,6.178180
1,"MARY SMITH",118.68,112.531820,6.148180
442,"LEROY BUSTAMANTE",118.68,112.531820,6.148180
583,"MARSHALL THORN",117.77,112.531820,5.238180
490,"SAM MCDUFFIE",117.76,112.531820,5.228180
585,"PERRY SWAFFORD",117.76,112.531820,5.228180
536,"FERNANDO CHURCHILL",117.75,112.531820,5.218180
240,"MARLENE WELCH",117.74,112.531820,5.208180
286,"VELMA LUCAS",117.73,112.531820,5.198180
577,"CLIFTON MALCOLM",117.73,112.531820,5.198180
14,"BETTY WHITE",117.72,112.531820,5.188180
126,"ELLEN SIMPSON",117.72,112.531820,5.188180
386,"TODD TAN",117.71,112.531820,5.178180
538,"TED BREAUX",117.71,112.531820,5.178180
42,"CAROLYN PEREZ",117.70,112.531820,5.168180
595,"TERRENCE GUNDERSON",117.70,112.531820,5.168180
321,"KEVIN SCHULER",116.78,112.531820,4.248180
432,"EDWIN BURK",116.77,112.531820,4.238180
408,"MANUEL MURRELL",116.70,112.531820,4.168180
214,"KRISTIN JOHNSTON",116.69,112.531820,4.158180
446,"THEODORE CULP",116.69,112.531820,4.158180
254,"MAXINE SILVA",116.68,112.531820,4.148180
304,"DAVID ROYAL",115.74,112.531820,3.208180
512,"CECIL VINES",115.74,112.531820,3.208180
58,"JEAN BELL",115.73,112.531820,3.198180
500,"REGINALD KINDER",115.72,112.531820,3.188180
25,"DEBORAH WALKER",115.71,112.531820,3.178180
287,"BECKY MILES",115.71,112.531820,3.178180
481,"HERMAN DEVORE",115.71,112.531820,3.178180
485,"CLYDE TOBIAS",115.71,112.531820,3.178180
588,"MARION OCAMPO",115.71,112.531820,3.178180
20,"SHARON ROBINSON",115.70,112.531820,3.168180
53,"HEATHER MORRIS",115.70,112.531820,3.168180
444,"MARCUS HIDALGO",115.70,112.531820,3.168180
503,"ANGEL BARCLAY",115.68,112.531820,3.148180
427,"JESUS MCCARTNEY",114.76,112.531820,2.228180
343,"DOUGLAS GRAF",114.75,112.531820,2.218180
44,"MARIE TURNER",114.74,112.531820,2.208180
171,"DOLORES WAGNER",114.74,112.531820,2.208180
220,"CHARLENE ALVAREZ",114.73,112.531820,2.198180
57,"EVELYN MORGAN",114.72,112.531820,2.188180
317,"EDWARD BAUGH",114.72,112.531820,2.188180
338,"DENNIS GILMAN",114.72,112.531820,2.188180
457,"BILL GAVIN",114.72,112.531820,2.188180
186,"HOLLY FOX",114.69,112.531820,2.158180
323,"MATTHEW MAHAN",114.69,112.531820,2.158180
22,"LAURA RODRIGUEZ",113.78,112.531820,1.248180
582,"ANDY VANHORN",113.75,112.531820,1.218180
294,"SHELLY WATTS",113.74,112.531820,1.208180
486,"GLEN TALBERT",113.74,112.531820,1.208180
593,"RENE MCALISTER",113.74,112.531820,1.208180
139,"AMBER DIXON",113.73,112.531820,1.198180
113,"CINDY FISHER",113.71,112.531820,1.178180
447,"CLIFFORD BOWENS",113.71,112.531820,1.178180
157,"DARLENE ROSE",113.69,112.531820,1.158180
91,"LOIS BUTLER",113.65,112.531820,1.118180
493,"BRENT HARKINS",112.77,112.531820,0.238180
540,"TYRONE ASHER",112.76,112.531820,0.228180
63,"ASHLEY RICHARDSON",112.75,112.531820,0.218180
590,"SETH HANNON",112.75,112.531820,0.218180
327,"LARRY THRASHER",112.74,112.531820,0.208180
407,"DALE RATCLIFF",112.73,112.531820,0.198180
441,"MARIO CHEATHAM",112.72,112.531820,0.188180
161,"GERALDINE PERKINS",112.70,112.531820,0.168180
256,"MABEL HOLLAND",112.70,112.531820,0.168180
