customer_id,customer_name,city,total_spent,rental_count,city_spending_rank,percentage_of_city_total,avg_spend_per_rental
84,"SARA PERRY",Atlixco,141.67,33,1,100.00,4.29
397,"JIMMY SCHRADER",Atšinsk,105.71,29,1,100.00,3.65
96,"DIANA ALEXANDER","Augusta-Richmond County",105.73,27,1,100.00,3.92
537,"CLINTON BUFORD",Aurora,103.75,25,1,52.27,4.15
330,"SCOTT SHELLEY",Aurora,94.75,25,2,47.73,3.79
560,"JORDAN ARCHULETA",Avellaneda,132.70,30,1,100.00,4.42
398,"ANTONIO MEEK",Bagé,78.84,16,1,100.00,4.93
322,"JASON MORRISSEY","Bahía Blanca",128.72,28,1,100.00,4.60
538,"TED BREAUX",Baicheng,117.71,29,1,100.00,4.06
495,"CHARLIE BESS",Baiyin,120.74,26,1,100.00,4.64
333,"ANDREW PURDY",Baku,109.73,27,1,100.00,4.06
55,"DORIS REED",Balašiha,100.78,22,1,100.00,4.58
366,"BRANDON HUEY",Balikesir,152.63,37,1,100.00,4.13
208,"LUCY WHEELER",Balurghat,91.74,26,1,100.00,3.53
352,"ALBERT CROUSE",Bamenda,99.77,23,1,100.00,4.34
91,"LOIS BUTLER","Bandar Seri Begawan",113.65,35,1,100.00,3.25
584,"SALVADOR TEEL",Banjul,129.70,30,1,100.00,4.32
568,"ALBERTO HENNING",Barcelona,66.79,21,1,100.00,3.18
61,"KATHERINE RIVERA",Basel,58.86,14,1,100.00,4.20
315,"KENNETH GOODEN","Bat Yam",84.83,17,1,100.00,4.99
172,"BERNICE WILLIS",Batman,145.67,33,1,100.00,4.41
441,"MARIO CHEATHAM",Batna,112.72,28,1,100.00,4.03
516,"ELMER NOE",Battambang,98.74,26,1,100.00,3.80
71,"KATHY JAMES",Baybay,129.70,30,1,100.00,4.32
188,"MELANIE ARMSTRONG",Bayugan,92.75,25,1,100.00,3.71
69,"JUDY GRAY",Béchar,96.75,25,1,100.00,3.87
257,"MARSHA DOUGLAS",Beira,151.63,37,1,100.00,4.10
362,"NICHOLAS BARFIELD",Belém,145.68,32,1,100.00,4.55
212,"WILMA RICHARDS",Bellevue,91.80,20,1,100.00,4.59
528,"CLAUDE HERZOG",Benguela,111.75,25,1,100.00,4.47
543,"LANCE PEMBERTON",Beni-Mellal,82.78,22,1,100.00,3.76
284,"SONIA GREGORY","Benin City",126.72,28,1,100.00,4.53
439,"ALEXANDER FENNELL",Bergamo,151.64,36,1,100.00,4.21
413,"MARVIN YEE","Berhampore (Baharampur)",75.79,21,1,100.00,3.61
155,"GAIL KNIGHT",Bern,109.75,25,1,100.00,4.39
379,"CARLOS COUGHLIN",Bhavnagar,106.77,23,1,100.00,4.64
209,"TONYA CHAPMAN",Bhilwara,161.68,32,1,100.00,5.05
529,"ERIK GUILLEN",Bhimavaram,118.71,29,1,100.00,4.09
15,"HELEN HARRIS",Bhopal,134.68,32,1,100.00,4.21
202,"CARLA GUTIERREZ",Bhusawal,103.74,26,1,100.00,3.99
468,"TIM CARY",Bijapur,175.61,39,1,100.00,4.50
559,"EVERETT BANDA",Bilbays,110.72,28,1,100.00,3.95
533,"JESSIE MILAM",Binzhou,141.67,33,1,100.00,4.29
321,"KEVIN SCHULER",Birgunj,116.78,22,1,100.00,5.31
94,"NORMA GONZALES",Bislig,79.79,21,1,100.00,3.80
206,"TERRI VASQUEZ",Blumenau,126.73,27,1,100.00,4.69
342,"HAROLD MARTINO","Boa Vista",130.68,32,1,100.00,4.08
125,"ETHEL WEBB",Boksburg,135.68,32,1,100.00,4.24
230,"JOY GEORGE",Botosani,124.67,33,1,100.00,3.78
132,"ESTHER CRAWFORD",Botshabelo,95.72,28,1,100.00,3.42
85,"ANNE POWELL",Bradford,87.77,23,1,100.00,3.82
325,"TIMOTHY BUNN",Brasília,91.78,22,1,100.00,4.17
357,"KEITH RICO",Bratislava,89.74,26,1,100.00,3.45
309,"CHRISTOPHER GRECO",Brescia,147.69,31,1,100.00,4.76
402,"LUIS YANEZ",Brest,79.80,20,1,100.00,3.99
499,"MARC OUTLAW",Brindisi,123.70,30,1,100.00,4.12
149,"VALERIE BLACK",Brockton,121.74,26,1,100.00,4.68
563,"KEN PREWITT",Bucuresti,110.71,29,1,100.00,3.82
235,"JACKIE LYNCH",Buenaventura,93.75,25,1,100.00,3.75
318,"BRIAN WYMAN",Bydgoszcz,52.88,12,1,100.00,4.41
371,"BILLY POULIN",Cabuyao,149.65,35,1,100.00,4.28
304,"DAVID ROYAL",Callao,115.74,26,1,100.00,4.45
532,"NEIL RENNER","Cam Ranh",152.68,32,1,100.00,4.77
526,"KARL SEAL","Cape Coral",221.55,45,1,100.00,4.92
111,"CARMEN OWENS",Caracas,97.74,26,1,100.00,3.76
578,"WILLARD LUMPKIN",Carmen,96.78,22,1,100.00,4.40
388,"CRAIG MORRELL",Cavite,124.70,30,1,100.00,4.16
65,"ROSE HOWARD",Cayenne,103.78,22,1,100.00,4.72
587,"SERGIO STANFIELD",Celaya,108.74,26,1,100.00,4.18
167,"SALLY PIERCE",Chandrapur,119.68,32,1,100.00,3.74
75,"TAMMY SANDERS",Changhwa,155.59,41,1,100.00,3.79
197,"SUE PETERS",Changzhou,154.60,40,1,100.00,3.87
509,"RAUL FORTIER",Chapra,100.80,20,1,100.00,5.04
406,"NATHAN RUNYON","Charlotte Amalie",122.68,32,1,100.00,3.83
555,"DWIGHT LOMBARDI",Chatsworth,74.83,17,1,100.00,4.40
88,"BONNIE HUGHES",Cheju,87.79,21,1,100.00,4.18
73,"BEVERLY BROOKS",Chiayi,97.76,24,1,100.00,4.07
38,"MARTHA GONZALEZ",Chisinau,127.66,34,1,100.00,3.75
517,"BRAD MCCURDY",Chungho,105.75,25,1,100.00,4.23
411,"NORMAN CURRIER",Cianjur,80.74,26,1,100.00,3.11
239,"MINNIE ROMERO",Ciomas,142.66,34,1,100.00,4.20
328,"JEFFREY SPEAR",Ciparay,90.77,23,1,100.00,3.95
14,"BETTY WHITE","Citrus Heights",117.72,28,1,100.00,4.20
26,"JESSICA HALL","Città del Vaticano",152.66,34,1,100.00,4.49
205,"EILEEN CARR","Ciudad del Este",80.82,18,1,100.00,4.49
140,"EVA RAMOS",Clarksville,83.82,18,1,100.00,4.66
247,"STELLA MORENO","Coacalco de Berriozábal",104.78,22,1,100.00,4.76
482,"MAURICE CRAWLEY",Coatzacoalcos,138.71,29,1,100.00,4.78
182,"RENEE LANE",Compton,97.74,26,1,100.00,3.76
515,"ANDRE RAPP",Coquimbo,126.72,28,1,100.00,4.53
24,"KIMBERLY LEE",Córdoba,95.75,25,1,100.00,3.83
467,"ALVIN DELOACH",Cuauhtémoc,139.71,29,1,100.00,4.82
323,"MATTHEW MAHAN",Cuautla,114.69,31,1,100.00,3.70
575,"ISAAC OGLESBY",Cuernavaca,126.71,29,1,100.00,4.37
113,"CINDY FISHER",Cumaná,113.71,29,1,100.00,3.92
572,"SIDNEY BURLESON",Czestochowa,108.75,25,1,100.00,4.35
416,"JEFFERY PINSON",Dadu,121.69,31,1,100.00,3.93
400,"BRYAN HARDISON",Dallas,124.72,28,1,100.00,4.45
260,"CHRISTY VARGAS",Datong,122.69,31,1,100.00,3.96
347,"RYAN SALISBURY",Daugavpils,142.70,30,1,100.00,4.76
27,"SHIRLEY ALLEN",Davao,126.69,31,1,100.00,4.09
64,"JUDITH COX",Daxian,100.67,33,1,100.00,3.05
294,"SHELLY WATTS",Dayton,113.74,26,1,100.00,4.37
409,"RODNEY MOELLER","Deba Habe",104.77,23,1,100.00,4.56
483,"VERNON CHAPA",Denizli,88.82,18,1,100.00,4.93
332,"STEPHEN QUALLS",Dhaka,118.72,28,1,100.00,4.24
440,"BERNARD COLBY","Dhule (Dhulia)",88.78,22,1,100.00,4.04
466,"LEO EBERT",Dongying,104.77,23,1,100.00,4.56
293,"MAE FLETCHER","Donostia-San Sebastián",158.69,31,1,100.00,5.12
120,"SYLVIA ORTIZ","Dos Quebradas",143.68,32,1,100.00,4.49
114,"GRACE ELLIS",Duisburg,139.67,33,1,100.00,4.23
142,"APRIL BURNS",Dundee,94.74,26,1,100.00,3.64
430,"RAY HOULE",Dzerzinsk,79.78,22,1,100.00,3.63
341,"PETER MENARD",Ede,106.77,23,1,100.00,4.64
286,"VELMA LUCAS",Effon-Alaiye,117.73,27,1,100.00,4.36
455,"JON WILES","El Alto",87.76,24,1,100.00,3.66
451,"JIM REA","El Fuerte",128.67,33,1,100.00,3.90
420,"JACOB LANCE","El Monte",79.79,21,1,100.00,3.80
17,"DONNA THOMPSON",Elista,98.79,21,1,100.00,4.70
389,"ALAN KAHN",Emeishan,124.74,26,1,100.00,4.80
474,"DUSTIN GILLETTE",Emmen,100.74,26,1,100.00,3.87
110,"TIFFANY JORDAN",Enshi,59.86,14,1,100.00,4.28
448,"MIGUEL BETANCOURT",Erlangen,135.71,29,1,100.00,4.68
445,"MICHEAL FORMAN",Escobar,102.74,26,1,100.00,3.95
10,"DOROTHY TAYLOR",Esfahan,99.75,25,1,100.00,3.99
507,"EDGAR RHOADS",Eskisehir,95.75,25,1,100.00,3.83
121,"JOSEPHINE GOMEZ",Etawah,109.74,26,1,100.00,4.22
530,"DARRYL ASHCRAFT",Ezeiza,76.77,23,1,100.00,3.34
313,"DONALD MAHON",Ezhou,89.77,23,1,100.00,3.90
43,"CHRISTINE ROBERTS",Faaa,99.76,24,1,100.00,4.16
576,"MORRIS MCCARTER",Fengshan,139.66,34,1,100.00,4.11
192,"LAURIE LAWRENCE",Firozabad,99.77,23,1,100.00,4.34
460,"LEON BOSTIC",Florencia,109.75,25,1,100.00,4.39
51,"ALICE STEWART",Fontana,138.67,33,1,100.00,4.20
141,"DEBBIE REYES",Fukuyama,130.68,32,1,100.00,4.08
105,"DAWN SULLIVAN",Funafuti,120.74,26,1,100.00,4.64
211,"STACEY MONTGOMERY",Fuyu,151.66,34,1,100.00,4.46
281,"LEONA OBRIEN",Fuzhou,50.86,14,1,100.00,3.63
117,"EDITH MCDONALD",Gandhinagar,71.81,19,1,100.00,3.78
593,"RENE MCALISTER","Garden Grove",113.74,26,1,100.00,4.37
561,"IAN STILL",Garland,96.73,27,1,100.00,3.58
476,"DERRICK BOURQUE",Gatineau,95.78,22,1,100.00,4.35
480,"COREY HAUSER",Gaziantep,101.78,22,1,100.00,4.63
394,"CHRIS BROTHERS",Gijón,84.78,22,1,100.00,3.85
461,"DEREK BLAKELY",Gingoog,97.72,28,1,100.00,3.49
92,"TINA SIMMONS",Goiânia,133.72,28,1,100.00,4.78
203,"TARA RYAN",Gorontalo,88.80,20,1,100.00,4.44
118,"KIM CRUZ","Grand Prairie",82.79,21,1,100.00,3.94
173,"AUDREY RAY",Graz,119.71,29,1,100.00,4.13
158,"VERONICA STONE",Greensboro,126.68,32,1,100.00,3.96
364,"BENJAMIN VARNEY",Guadalajara,95.77,23,1,100.00,4.16
427,"JESUS MCCARTNEY",Guarujá,114.76,24,1,100.00,4.78
370,"WAYNE TRUONG",Gulbarga,70.81,19,1,100.00,3.73
255,"IRMA PEARSON",Hagonoy,70.82,18,1,100.00,3.93
552,"HUGH WALDROP",Haining,90.79,21,1,100.00,4.32
199,"BETH FRANKLIN",Haiphong,103.75,25,1,100.00,4.15
186,"HOLLY FOX",Haldia,114.69,31,1,100.00,3.70
463,"DARRELL POWER",Halifax,91.75,25,1,100.00,3.67
259,"LENA JENSEN",Halisahar,168.68,32,1,100.00,5.27
251,"VICKIE BREWER",Halle/Saale,120.69,31,1,100.00,3.89
165,"LORRAINE STEPHENS",Hami,86.79,21,1,100.00,4.13
8,"SUSAN WILSON",Hamilton,92.76,24,1,100.00,3.87
340,"PATRICK NEWSOM",Hanoi,119.69,31,1,100.00,3.86
150,"DANIELLE DANIELS",Hidalgo,105.75,25,1,100.00,4.23
264,"GWENDOLYN MAY",Higashiosaka,98.75,25,1,100.00,3.95
194,"KRISTEN CHAVEZ",Hino,87.82,18,1,100.00,4.88
299,"JAMES GANNON",Hiroshima,131.70,30,1,100.00,4.39
470,"GORDON ALLARD",Hodeida,160.68,32,1,100.00,5.02
138,"HAZEL WARREN",Hohhot,110.66,34,1,100.00,3.25
412,"ALLEN BUTTERFIELD",Hoshiarpur,85.79,21,1,100.00,4.09
348,"ROGER QUINTANILLA",Hsichuh,146.64,36,1,100.00,4.07
384,"ERNEST STEPP",Huai´an,89.75,25,1,100.00,3.59
565,"JAIME NETTLES",Huánuco,126.71,29,1,100.00,4.37
136,"ANITA MORALES",Hubli-Dharwad,62.85,15,1,100.00,4.19
582,"ANDY VANHORN","Huejutla de Reyes",113.75,25,1,100.00,4.55
108,"TRACY COLE",Huixquilucan,132.70,30,1,100.00,4.42
310,"DANIEL CABRAL",Ibirité,97.80,20,1,100.00,4.89
233,"LILLIE KIM",Idfu,89.77,23,1,100.00,3.90
80,"MARILYN ROSS",Ife,137.70,30,1,100.00,4.59
198,"ELSIE KELLEY",Ikerre,141.63,37,1,100.00,3.83
580,"ROSS GREY",Iligan,99.73,27,1,100.00,3.69
103,"GLADYS HAMILTON",Ilorin,146.69,31,1,100.00,4.73
349,"JOE GILLILAND",Imus,138.71,29,1,100.00,4.78
278,"BILLIE HORTON",Inegöl,88.74,26,1,100.00,3.41
171,"DOLORES WAGNER",Ipoh,114.74,26,1,100.00,4.41
519,"RON DELUCA",Isesaki,103.77,23,1,100.00,4.51
106,"CONNIE WALLACE",Ivanovo,100.77,23,1,100.00,4.38
240,"MARLENE WELCH",Iwaki,117.74,26,1,100.00,4.53
54,"TERESA ROGERS",Iwakuni,128.71,29,1,100.00,4.44
396,"EARL SHANKS",Iwatsuki,111.73,27,1,100.00,4.14
391,"CLARENCE GAMEZ",Izumisano,104.70,30,1,100.00,3.49
408,"MANUEL MURRELL",Jaffna,116.70,30,1,100.00,3.89
60,"MILDRED BAILEY",Jaipur,98.75,25,1,100.00,3.95
153,"SUZANNE NICHOLS",Jakarta,94.76,24,1,100.00,3.95
234,"CLAUDIA FULLER","Jalib al-Shuyukh",111.74,26,1,100.00,4.30
329,"FRANK WAGGONER",Jamalpur,127.68,32,1,100.00,3.99
222,"DELORES HANSEN",Jaroslavl,91.79,21,1,100.00,4.37
128,"MARJORIE TUCKER",Jastrzebie-Zdrój,127.68,32,1,100.00,3.99
49,"JOYCE EDWARDS",Jedda,130.72,28,1,100.00,4.67
100,"ROBIN HAYES",Jelets,102.76,24,1,100.00,4.28
32,"AMY LOPEZ",Jhansi,127.71,29,1,100.00,4.40
168,"REGINA BERRY",Jinchang,135.66,34,1,100.00,3.99
594,"EDUARDO HIATT",Jining,130.73,27,1,100.00,4.84
595,"TERRENCE GUNDERSON",Jinzhou,117.70,30,1,100.00,3.92
224,"PEARL GARZA",Jodhpur,76.78,22,1,100.00,3.49
471,"DEAN SAUER",Johannesburg,109.73,27,1,100.00,4.06
504,"NATHANIEL ADAM",Joliet,133.72,28,1,100.00,4.78
581,"VIRGIL WOFFORD","José Azueta",107.73,27,1,100.00,3.99
369,"FRED WHEAT",Juárez,88.75,25,1,100.00,3.55
47,"FRANCES PARKER","Juazeiro do Norte",108.78,22,1,100.00,4.94
591,"KENT ARSENAULT","Juiz de Fora",134.73,27,1,100.00,4.99
435,"RICKY SHELBY",Junan,91.75,25,1,100.00,3.67
218,"VERA MCCOY",Kabul,67.82,18,1,100.00,3.77
18,"CAROL GARCIA",Kaduna,91.78,22,1,100.00,4.17
163,"CATHY SPENCER",Kakamigahara,122.71,29,1,100.00,4.23
301,"ROBERT BAUGHMAN",Kaliningrad,92.79,21,1,100.00,4.42
270,"LEAH CURTIS",Kalisz,104.75,25,1,100.00,4.19
79,"RACHEL BARNES",Kamakura,84.78,22,1,100.00,3.85
31,"BRENDA WRIGHT",Kamarhati,104.74,26,1,100.00,4.03
386,"TODD TAN",Kamjanets-Podilskyi,117.71,29,1,100.00,4.06
510,"BEN EASTER",Kamyšin,122.74,26,1,100.00,4.72
547,"KURT EMMONS",Kanazawa,99.77,23,1,100.00,4.34
492,"LESTER KRAUS",Kanchrapara,65.84,16,1,100.00,4.12
308,"THOMAS GRIGSBY","Kansas City",105.75,25,1,100.00,4.23
274,"NAOMI JENNINGS",Karnal,152.65,35,1,100.00,4.36
419,"CHAD CARBONE",Katihar,89.75,25,1,100.00,3.59
377,"HOWARD FORTNER",Kermanshah,93.74,26,1,100.00,3.61
143,"LESLIE GORDON",Kilis,89.78,22,1,100.00,4.08
19,"RUTH MARTINEZ",Kimberley,125.76,24,1,100.00,5.24
99,"EMILY DIAZ",Kimchon,91.76,24,1,100.00,3.82
326,"JOSE ANDREW",Kingstown,96.75,25,1,100.00,3.87
179,"DANA HART",Kirovo-Tšepetsk,133.71,29,1,100.00,4.61
193,"KATIE ELLIOTT",Kisumu,109.75,25,1,100.00,4.39
438,"BARRY LOVELACE",Kitwe,134.67,33,1,100.00,4.08
109,"EDNA WEST",Klerksdorp,107.74,26,1,100.00,4.14
295,"DAISY BATES",Kolpino,162.62,38,1,100.00,4.28
545,"JULIO NOLAND",Konotop,89.79,21,1,100.00,4.28
401,"TONY CARRANZA",Koriyama,73.79,21,1,100.00,3.51
283,"FELICIA SUTTON",Korla,86.72,28,1,100.00,3.10
393,"PHILIP CAUSEY",Korolev,121.69,31,1,100.00,3.93
289,"VIOLET RODRIQUEZ","Kowloon and New Kowloon",142.70,30,1,100.00,4.76
7,"MARIA MILLER",Kragujevac,151.67,33,1,100.00,4.60
58,"JEAN BELL",Kuching,115.73,27,1,100.00,4.29
271,"PENNY NEAL",Kumbakonam,68.82,18,1,100.00,3.82
34,"REBECCA SCOTT",Kurashiki,89.76,24,1,100.00,3.74
376,"RANDY GAITHER",Kurgan,110.72,28,1,100.00,3.95
311,"PAUL TROUT",Kursk,120.77,23,1,100.00,5.25
124,"SHEILA WELLS",Kütahya,73.82,18,1,100.00,4.10
531,"JAMIE WAUGH",Kuwana,118.75,25,1,100.00,4.75
488,"SHANE MILLARD","La Paz",95.78,22,1,100.00,4.35
89,"JULIA FLORES","La Plata",134.68,32,1,100.00,4.21
437,"RANDALL NEUMANN","La Romana",99.77,23,1,100.00,4.34
151,"MEGAN PALMER",Laiwu,92.73,27,1,100.00,3.43
112,"ROSA REYNOLDS",Lancaster,133.70,30,1,100.00,4.46
422,"MELVIN ELLINGTON",Laohekou,97.74,26,1,100.00,3.76
244,"VIOLA HANSON",Lapu-Lapu,129.68,32,1,100.00,4.05
6,"JENNIFER DAVIS",Laredo,93.72,28,1,100.00,3.35
598,"WADE DELVALLE",Lausanne,83.78,22,1,100.00,3.81
162,"LAUREN HUDSON","Le Mans",71.80,20,1,100.00,3.59
267,"MARGIE WADE",Lengshuijiang,159.64,36,1,100.00,4.43
569,"DAVE GARDINER",Leshan,134.68,32,1,100.00,4.21
473,"JORGE OLIVARES",Lhokseumawe,134.66,34,1,100.00,3.96
129,"CARRIE PORTER",Liaocheng,124.66,34,1,100.00,3.67
23,"SARAH LEWIS",Liepaja,119.70,30,1,100.00,3.99
166,"LYNN PAYNE",Lilongwe,123.72,28,1,100.00,4.42
122,"THELMA MURRAY",Lima,126.68,32,1,100.00,3.96
63,"ASHLEY RICHARDSON",Lincoln,112.75,25,1,100.00,4.51
159,"JILL HAWKINS",Linz,68.79,21,1,100.00,3.28
44,"MARIE TURNER",Lipetsk,114.74,26,1,100.00,4.41
541,"DARREN WINDHAM",Livorno,108.76,24,1,100.00,4.53
160,"ERIN DUNN",Ljubertsy,106.73,27,1,100.00,3.95
589,"TRACY HERRMANN",Loja,129.72,28,1,100.00,4.63
512,"CECIL VINES",London,115.74,26,1,64.11,4.45
252,"MATTIE HOFFMAN",London,64.78,22,2,35.89,2.94
501,"RUBEN GEARY",Lublin,89.79,21,1,100.00,4.28
387,"JESSE SCHILLING",Lubumbashi,101.74,26,1,100.00,3.91
30,"MELISSA KING",Lungtan,123.66,34,1,100.00,3.64
183,"IDA ANDREWS",Luziânia,76.77,23,1,100.00,3.34
500,"REGINALD KINDER",Madiun,115.72,28,1,100.00,4.13
81,"ANDREA HENDERSON",Mahajanga,93.78,22,1,100.00,4.26
346,"ARTHUR SIMPKINS",Maikop,155.68,32,1,100.00,4.87
66,"JANICE WARD",Malmö,144.66,34,1,100.00,4.25
382,"VICTOR BARKLEY",Manchester,91.76,24,1,100.00,3.82
263,"HILDA HOPKINS",Mandaluyong,122.71,29,1,100.00,4.23
223,"MELINDA FERNANDEZ","Mandi Bahauddin",80.83,17,1,100.00,4.75
196,"ALMA AUSTIN",Mannheim,151.65,35,1,100.00,4.33
453,"CALVIN MARTEL",Maracaíbo,111.77,23,1,100.00,4.86
20,"SHARON ROBINSON",Mardan,115.70,30,1,100.00,3.86
246,"MARIAN MENDOZA",Maringá,107.77,23,1,100.00,4.69
9,"MARGARET MOORE",Masqat,89.77,23,1,100.00,3.90
177,"SAMANTHA DUNCAN",Matamoros,71.77,23,1,100.00,3.12
355,"TERRY GRISSOM",Matsue,72.80,20,1,100.00,3.64
90,"RUBY WASHINGTON",Meixian,110.72,28,1,100.00,3.95
181,"ANA BRADLEY",Memphis,174.66,34,1,100.00,5.14
107,"FLORENCE WOODS",Merlo,126.70,30,1,100.00,4.22
343,"DOUGLAS GRAF",Mexicali,114.75,25,1,100.00,4.59
316,"STEVEN CURLEY",Miraj,132.71,29,1,100.00,4.58
491,"RICK MATTOX","Mit Ghamr",124.73,27,1,100.00,4.62
253,"TERRY CARLSON",Miyakonojo,127.71,29,1,100.00,4.40
527,"CORY MEEHAN",Mogiljov,81.76,24,1,100.00,3.41
144,"CLARA SHAW",Molodetšno,195.58,42,1,100.00,4.66
570,"IVAN CROMWELL",Monclova,99.74,26,1,100.00,3.84
256,"MABEL HOLLAND",Monywa,112.70,30,1,100.00,3.76
46,"CATHERINE CAMPBELL",Moscow,142.66,34,1,100.00,4.20
579,"DARYL LARUE",Mosul,111.73,27,1,100.00,4.14
131,"MONICA HICKS",Mukatševe,128.70,30,1,100.00,4.29
28,"CYNTHIA YOUNG","Munger (Monghyr)",111.68,32,1,100.00,3.49
481,"HERMAN DEVORE",Mwanza,115.71,29,1,100.00,3.99
375,"AARON SELBY",Mwene-Ditu,110.76,24,1,100.00,4.62
4,"BARBARA JONES",Myingyan,81.78,22,1,100.00,3.72
59,"CHERYL MURPHY",Mysore,133.73,27,1,100.00,4.95
447,"CLIFFORD BOWENS","Nabereznyje Tšelny",113.71,29,1,100.00,3.92
433,"DON BONE",Naçala-Porto,133.75,25,1,100.00,5.35
40,"AMANDA CARTER",Nador,110.73,27,1,100.00,4.10
152,"ALICIA MILLS",Nagaon,83.79,21,1,100.00,3.99
53,"HEATHER MORRIS",Nagareyama,115.70,30,1,100.00,3.86
368,"HARRY ARCE",Najafabad,157.65,35,1,100.00,4.50
237,"TANYA GILBERT",Naju,144.67,33,1,100.00,4.38
390,"SHAWN HEATON","Nakhon Sawan",152.67,33,1,100.00,4.63
472,"GREG ROBINS","Nam Dinh",141.70,30,1,100.00,4.72
383,"MARTIN BALES",Namibe,103.73,27,1,100.00,3.84
5,"ELIZABETH BROWN",Nantou,144.62,38,1,100.00,3.81
37,"PAMELA BAKER",Nanyang,95.77,23,1,100.00,4.16
535,"JAVIER ELROD",NDjamna,135.68,32,1,100.00,4.24
432,"EDWIN BURK",Newcastle,116.77,23,1,100.00,5.08
115,"WENDY HARRISON",Nezahualcóyotl,91.70,30,1,100.00,3.06
520,"MITCHELL WESTMORELAND","Nha Trang",134.68,32,1,100.00,4.21
48,"ANN EVANS",Niznekamsk,76.83,17,1,100.00,4.52
553,"MAX PITT","Novi Sad",107.76,24,1,100.00,4.49
191,"JEANETTE GREENE",Novotšerkassk,74.80,20,1,100.00,3.74
344,"HENRY BILLINGSLEY",Nuku´alofa,73.82,18,1,100.00,4.10
207,"GERTRUDE CASTILLO",Nuuk,137.66,34,1,100.00,4.05
363,"ROY WHITING",Nyeri,143.71,29,1,100.00,4.96
174,"YVONNE WATKINS","Ocumare del Tuy",92.79,21,1,100.00,4.42
277,"OLGA JIMENEZ",Ogbomosho,144.68,32,1,100.00,4.52
399,"DANNY ISOM",Okara,91.79,21,1,100.00,4.37
489,"RICARDO MEADOR",Okayama,99.79,21,1,100.00,4.75
365,"BRUCE SCHWARZ",Okinawa,103.77,23,1,100.00,4.51
265,"JENNIE TERRY",Olomouc,133.71,29,1,100.00,4.61
50,"DIANE COLLINS",Omdurman,169.65,35,1,100.00,4.85
404,"STANLEY SCROGGINS",Omiya,139.70,30,1,100.00,4.66
156,"BERTHA FERGUSON",Ondo,101.75,25,1,100.00,4.07
337,"JERRY JORDON",Onomichi,143.71,29,1,100.00,4.96
189,"LORETTA CARPENTER",Oshawa,93.78,22,1,100.00,4.26
